Posição,Time,PTS,Estado,J,V,E,D,GP,GC,SG,CA,CV,%,Ano,Serie,Serie_Anterior,Peso
16,Atlético,44, GO,38,12,8,18,42,51,-9,90,6,38,2013,B,A,1.0
17,Guaratinguetá,41, SP,38,11,8,19,42,54,-12,104,8,35,2013,B,B,0.7
18,Paysandu,40, PA,38,10,10,18,40,56,-16,110,6,35,2013,B,C,0.5
19,São Caetano,36, SP,38,9,9,20,45,59,-14,104,6,31,2013,B,B,0.7
20,A.s.a.,35, AL,38,11,2,25,41,75,-34,97,5,30,2013,B,B,0.7
1,Cruzeiro,80, MG,38,24,8,6,67,38,29,70,2,70,2014,A,A,1.0
2,São Paulo,70, SP,38,20,10,8,59,40,19,92,4,61,2014,A,A,1.0
3,Internacional,69, RS,38,21,6,11,53,41,12,92,6,60,2014,A,A,1.0
4,Corinthians,69, SP,38,19,12,7,49,31,18,70,3,60,2014,A,A,1.0
5,Atlético Mineiro,62, MG,38,17,11,10,51,38,13,83,2,54,2014,A,A,1.0
6,Fluminense,61, RJ,38,17,10,11,61,42,19,75,5,53,2014,A,A,1.0
7,Grêmio,61, RS,38,17,10,11,36,24,12,95,3,53,2014,A,A,1.0
8,Atletico,54, PR,38,15,9,14,43,42,1,72,1,47,2014,A,B,0.7
9,Santos,53, SP,38,15,8,15,42,35,7,71,4,46,2014,A,A,1.0
10,Flamengo,52, RJ,38,14,10,14,46,47,-1,67,4,45,2014,A,A,1.0
11,Sport,52, PE,38,14,10,14,36,46,-10,74,2,45,2014,A,B,0.7
12,Goiás,47, GO,38,13,8,17,38,40,-2,77,2,41,2014,A,A,1.0
13,Figueirense,47, SC,38,13,8,17,37,47,-10,92,10,41,2014,A,B,0.7
14,Coritiba,47, PR,38,12,11,15,42,45,-3,96,2,41,2014,A,A,1.0
15,Chapecoense,43, SC,38,11,10,17,39,44,-5,67,2,37,2014,A,B,0.7
16,Palmeiras,40, SP,38,11,7,20,34,59,-25,92,7,35,2014,A,B,0.7
17,Vitória,38, BA,38,10,8,20,37,54,-17,78,2,33,2014,A,A,1.0
18,Bahia,37, BA,38,9,10,19,31,43,-12,94,7,32,2014,A,A,1.0
19,Botafogo,34, RJ,38,9,7,22,31,48,-17,86,9,29,2014,A,A,1.0
20,Criciuma,32, SC,38,7,11,20,28,56,-28,114,5,28,2014,A,A,1.0
1,Joinville,70, SC,38,21,7,10,54,33,21,95,8,61,2014,B,B,0.7
2,Ponte Preta,69, SP,38,19,12,7,61,38,23,70,4,60,2014,B,A,1.0
3,Vasco da Gama,63, RJ,38,16,15,7,50,36,14,101,1,55,2014,B,A,1.0
4,Avaí,62, SC,38,18,8,12,47,40,7,89,2,54,2014,B,B,0.7
5,América,61, MG,38,20,7,11,59,39,20,96,6,53,2014,B,B,0.7
6,Boa,59, MG,38,18,5,15,51,48,3,96,5,51,2014,B,B,0.7
7,Atlético,59, GO,38,17,8,13,54,49,5,83,5,51,2014,B,B,0.7
8,Ceará,57, CE,38,16,9,13,58,53,5,107,6,50,2014,B,B,0.7
9,Santa Cruz,55, PE,38,14,13,11,51,38,13,83,4,48,2014,B,C,0.5
10,Sampaio Correa,53, MA,38,13,14,11,54,46,8,81,6,46,2014,B,C,0.5
11,Paraná,51, PR,38,13,12,13,45,43,2,90,6,44,2014,B,B,0.7
12,Luverdense,50, MT,38,15,5,18,40,46,-6,71,4,43,2014,B,C,0.5
13,Náutico,50, PE,38,14,8,16,40,47,-7,105,6,43,2014,B,A,1.0
14,Abc,48, RN,38,14,6,18,34,40,-6,88,2,42,2014,B,B,0.7
15,Oeste,48, SP,38,12,12,14,39,48,-9,101,4,42,2014,B,B,0.7
16,Red Bull Bragantino,46, SP,38,13,7,18,45,55,-10,100,6,40,2014,B,B,0.7
17,América,43, RN,38,12,7,19,44,53,-9,93,8,37,2014,B,B,0.7
18,Icasa,43, CE,38,11,10,17,34,43,-9,87,4,37,2014,B,B,0.7
19,Vila Nova,32, GO,38,10,2,26,35,70,-35,94,7,28,2014,B,C,0.5
20,Portuguesa,25, SP,38,4,13,21,29,59,-30,99,5,21,2014,B,A,1.0
1,Corinthians,81, SP,38,24,9,5,71,31,40,64,2,71,2015,A,A,1.0
2,Atlético Mineiro,69, MG,38,21,6,11,65,47,18,76,4,60,2015,A,A,1.0
3,Grêmio,68, RS,38,20,8,10,52,32,20,95,2,59,2015,A,A,1.0
4,São Paulo,62, SP,38,18,8,12,53,47,6,73,5,54,2015,A,A,1.0
5,Internacional,60, RS,38,17,9,12,39,38,1,101,6,52,2015,A,A,1.0
6,Sport,59, PE,38,15,14,9,53,38,15,72,2,51,2015,A,A,1.0
7,Santos,58, SP,38,16,10,12,59,41,18,79,9,50,2015,A,A,1.0
8,Cruzeiro,55, MG,38,15,10,13,44,35,9,89,5,48,2015,A,A,1.0
9,Palmeiras,53, SP,38,15,8,15,60,51,9,91,5,46,2015,A,A,1.0
10,Atlético,51, PR,38,14,9,15,43,48,-5,87,7,44,2015,A,B,0.7
11,Ponte Preta,51, SP,38,13,12,13,41,40,1,99,5,44,2015,A,B,0.7
12,Flamengo,49, RJ,38,15,4,19,45,53,-8,82,6,42,2015,A,A,1.0
13,Fluminense,47, RJ,38,14,5,19,40,49,-9,98,10,41,2015,A,A,1.0
14,Chapecoense,47, SC,38,12,11,15,34,44,-10,84,3,41,2015,A,A,1.0
15,Coritiba,44, PR,38,11,11,16,31,42,-11,113,5,38,2015,A,A,1.0
16,Figueirense,43, SC,38,11,10,17,36,50,-14,111,5,37,2015,A,A,1.0
17,Avaí,42, SC,38,11,9,18,38,60,-22,119,3,36,2015,A,B,0.7
18,Vasco da Gama,41, RJ,38,10,11,17,28,54,-26,108,14,35,2015,A,B,0.7
19,Goiás,38, GO,38,10,8,20,39,49,-10,89,3,33,2015,A,A,1.0
20,Joinville,31, SC,38,7,10,21,26,48,-22,94,8,27,2015,A,B,0.7
1,Botafogo,72, RJ,38,21,9,8,60,30,30,69,4,63,2015,B,A,1.0
2,Santa Cruz,67, PE,38,20,7,11,63,43,20,94,8,58,2015,B,B,0.7
3,Vitória,66, BA,38,19,9,10,58,40,18,106,8,57,2015,B,A,1.0
4,América,65, MG,38,19,8,11,55,39,16,101,8,57,2015,B,B,0.7
5,Náutico,63, PE,38,18,9,11,49,42,7,87,5,55,2015,B,B,0.7
6,Red Bull Bragantino,60, SP,38,19,3,16,56,56,0,100,6,52,2015,B,B,0.7
7,Paysandu,60, PA,38,17,9,12,49,40,9,109,3,52,2015,B,C,0.5
8,Sampaio Correa,58, MA,38,15,13,10,51,43,8,80,3,50,2015,B,B,0.7
9,Bahia,58, BA,38,15,13,10,48,41,7,99,7,50,2015,B,A,1.0
10,Luverdense,54, MT,38,15,9,14,46,40,6,93,3,47,2015,B,B,0.7
11,Crb,54, AL,38,15,9,14,47,45,2,109,6,47,2015,B,C,0.5
12,Criciúma,49, SC,38,12,13,13,36,41,-5,97,1,42,2015,B,C,0.5
13,Paraná,47, PR,38,12,11,15,39,43,-4,98,4,41,2015,B,B,0.7
14,Atlético,46, GO,38,11,13,14,36,46,-10,95,0,40,2015,B,B,0.7
15,Ceará,45, CE,38,12,9,17,42,50,-8,90,12,39,2015,B,B,0.7
16,Oeste,44, SP,38,10,14,14,37,45,-8,89,5,38,2015,B,B,0.7
17,Macaé,43, RJ,38,10,13,15,46,54,-8,89,4,37,2015,B,C,0.5
18,Abc,32, RN,38,6,14,18,41,64,-23,101,4,28,2015,B,B,0.7
19,Boa,31, MG,38,7,10,21,34,54,-20,96,5,27,2015,B,B,0.7
20,Mogi Mirim,23, SP,38,4,11,23,32,69,-37,101,7,20,2015,B,C,0.5
1,Palmeiras,80, SP,38,24,8,6,62,32,30,95,0,70,2016,A,A,1.0
2,Santos,71, SP,38,22,5,11,59,35,24,74,4,62,2016,A,A,1.0
3,Flamengo,71, RJ,38,20,11,7,52,35,17,62,5,62,2016,A,A,1.0
4,Atlético Mineiro,62, MG,38,17,11,10,61,53,8,74,4,55,2016,A,A,1.0
5,Botafogo,59, RJ,38,17,8,13,43,39,4,93,2,51,2016,A,B,0.7
6,Atlético,57, PR,38,17,6,15,38,32,6,76,1,50,2016,A,A,1.0
7,Corinthians,55, SP,38,15,10,13,48,42,6,76,5,48,2016,A,A,1.0
8,Ponte Preta,53, SP,38,15,8,15,48,52,-4,97,3,46,2016,A,A,1.0
9,Grêmio,53, RS,38,14,11,13,41,44,-3,93,6,46,2016,A,A,1.0
10,São Paulo,52, SP,38,14,10,14,44,36,8,87,5,45,2016,A,A,1.0
11,Chapecoense,52, SC,38,13,13,12,49,56,-7,75,2,46,2016,A,A,1.0
12,Cruzeiro,51, MG,38,14,9,15,48,49,-1,95,9,44,2016,A,A,1.0
13,Fluminense,50, RJ,38,13,11,14,45,45,0,86,1,43,2016,A,A,1.0
14,Sport,47, PE,38,13,8,17,49,55,-6,81,7,41,2016,A,A,1.0
15,Coritiba,46, PR,38,11,13,14,41,42,-1,94,4,40,2016,A,A,1.0
16,Vitória,45, BA,38,12,9,17,51,53,-2,101,6,39,2016,A,B,0.7
17,Internacional,43, RS,38,11,10,17,35,41,-6,98,5,37,2016,A,A,1.0
18,Figueirense,37, SC,38,8,13,17,30,50,-20,86,8,32,2016,A,A,1.0
19,Santa Cruz,31, PE,38,8,7,23,45,69,-24,84,6,27,2016,A,B,0.7
20,América,28, MG,38,7,7,24,23,58,-35,66,3,24,2016,A,B,0.7
1,Atlético,76, GO,38,22,10,6,60,35,25,85,5,66,2016,B,A,1.0
2,Avaí,66, SC,38,19,9,10,45,34,11,93,7,57,2016,B,A,1.0
3,Vasco da Gama,65, RJ,38,19,8,11,54,41,13,105,3,57,2016,B,A,1.0
4,Bahia,63, BA,38,18,9,11,57,34,23,96,4,55,2016,B,B,0.7
5,Náutico,60, PE,38,18,6,14,55,43,12,89,3,52,2016,B,B,0.7
6,Londrina,60, PR,38,16,12,10,40,29,11,114,3,52,2016,B,C,0.5
7,Crb,58, AL,38,17,7,14,57,54,3,87,12,50,2016,B,B,0.7
8,Criciúma,56, SC,38,16,8,14,49,46,3,103,3,49,2016,B,B,0.7
9,Luverdense,55, MT,38,13,16,9,43,39,4,74,7,48,2016,B,B,0.7
10,Ceará,54, CE,38,14,12,12,49,47,2,91,4,47,2016,B,B,0.7
11,Brasil,54, RS,38,14,12,12,40,38,2,75,7,47,2016,B,C,0.5
12,Vila Nova,53, GO,38,15,8,15,54,52,2,90,11,46,2016,B,C,0.5
13,Goiás,50, GO,38,13,11,14,49,48,1,87,6,43,2016,B,A,1.0
14,Paysandu,49, PA,38,11,16,11,40,44,-4,95,6,42,2016,B,B,0.7
15,Paraná,41, PR,38,10,11,17,39,55,-16,86,10,35,2016,B,B,0.7
16,Oeste,41, SP,38,8,17,13,32,46,-14,56,4,35,2016,B,B,0.7
17,Joinville,40, SC,38,9,13,16,32,42,-10,81,8,35,2016,B,A,1.0
18,Tupi,33, MG,38,8,9,21,40,56,-16,85,5,28,2016,B,C,0.5
19,Red Bull Bragantino,32, SP,38,8,8,22,30,54,-24,84,6,28,2016,B,B,0.7
20,Sampaio Correa,27, MA,38,5,12,21,29,57,-28,79,7,23,2016,B,B,0.7
1,Corinthians,72, SP,38,21,9,8,50,30,20,81,1,63,2017,A,A,1.0
2,Palmeiras,63, SP,38,19,6,13,61,45,16,87,4,55,2017,A,A,1.0
3,Santos,63, SP,38,17,12,9,42,32,10,94,4,55,2017,A,A,1.0
4,Grêmio,62, RS,38,18,8,12,55,36,19,69,2,54,2017,A,A,1.0
5,Cruzeiro,57, MG,38,15,12,11,47,39,8,87,5,50,2017,A,A,1.0
6,Flamengo,56, RJ,38,15,11,12,49,38,11,74,2,49,2017,A,A,1.0
7,Vasco da Gama,56, RJ,38,15,11,12,40,47,-7,105,2,49,2017,A,B,0.7
8,Chapecoense,54, SC,38,15,9,14,47,49,-2,105,2,47,2017,A,A,1.0
9,Atlético Mineiro,54, MG,38,14,12,12,52,49,3,105,3,47,2017,A,A,1.0
10,Botafogo,53, RJ,38,14,11,13,45,42,3,94,2,46,2017,A,A,1.0
11,Atlético,51, PR,38,14,9,15,45,43,2,76,3,44,2017,A,A,1.0
12,Bahia,50, BA,38,13,11,14,50,48,2,90,7,43,2017,A,B,0.7
13,São Paulo,50, SP,38,13,11,14,48,49,-1,70,4,43,2017,A,A,1.0
14,Fluminense,47, RJ,38,11,14,13,50,53,-3,95,3,41,2017,A,A,1.0
15,Sport,45, PE,38,12,9,17,46,58,-12,90,4,39,2017,A,A,1.0
16,Vitória,43, BA,38,11,10,17,50,58,-8,95,7,37,2017,A,A,1.0
17,Coritiba,43, PR,38,11,10,17,42,51,-9,107,5,37,2017,A,A,1.0
18,Avaí,43, SC,38,10,13,15,29,48,-19,82,5,37,2017,A,B,0.7
19,Ponte Preta,39, SP,38,10,9,19,37,52,-15,88,9,34,2017,A,A,1.0
20,Atlético,36, GO,38,9,9,20,38,56,-18,83,3,31,2017,A,A,1.0
1,América,73, MG,38,20,13,5,46,25,21,63,2,64,2017,B,A,1.0
2,Internacional,71, RS,38,20,11,7,54,26,28,105,1,62,2017,B,A,1.0
3,Ceará,67, CE,38,19,10,9,46,32,14,84,5,58,2017,B,B,0.7
4,Paraná,64, PR,38,18,10,10,49,28,21,77,4,56,2017,B,B,0.7
5,Londrina,62, PR,38,18,8,12,56,46,10,84,6,54,2017,B,B,0.7
6,Oeste,59, SP,38,14,17,7,43,31,12,76,4,51,2017,B,B,0.7
7,Vila Nova,58, GO,38,15,13,10,38,30,8,84,3,50,2017,B,B,0.7
8,Brasil,51, RS,38,15,6,17,43,50,-7,114,5,44,2017,B,B,0.7
9,Juventude,51, RS,38,13,12,13,35,38,-3,90,5,44,2017,B,C,0.5
10,Boa,50, MG,38,12,14,12,40,42,-2,97,5,43,2017,B,C,0.5
11,Paysandu,48, PA,38,13,9,16,41,41,0,101,5,42,2017,B,B,0.7
12,Figueirense,48, SC,38,12,12,14,44,49,-5,86,6,42,2017,B,A,1.0
13,Criciúma,48, SC,38,12,12,14,41,46,-5,91,4,42,2017,B,B,0.7
14,Goiás,45, GO,38,12,9,17,35,46,-11,84,7,39,2017,B,B,0.7
15,Crb,45, AL,38,12,9,17,35,50,-15,105,4,39,2017,B,B,0.7
16,Guarani,44, SP,38,11,11,16,36,46,-10,70,4,38,2017,B,C,0.5
17,Luverdense,44, MT,38,10,14,14,38,40,-2,90,5,38,2017,B,B,0.7
18,Santa Cruz,37, PE,38,8,13,17,43,54,-11,83,4,32,2017,B,A,1.0
19,Abc,34, RN,38,9,7,22,28,49,-21,89,5,29,2017,B,C,0.5
20,Náutico,32, PE,38,8,8,22,29,51,-22,79,6,28,2017,B,B,0.7
1,Palmeiras,80, SP,38,23,11,4,64,26,38,117,5,70,2018,A,A,1.0
2,Flamengo,72, RJ,38,21,9,8,59,29,30,83,10,63,2018,A,A,1.0
3,Internacional,69, RS,38,19,12,7,51,29,22,96,6,60,2018,A,B,0.7
4,Grêmio,66, RS,38,18,12,8,48,27,21,83,1,57,2018,A,A,1.0
5,São Paulo,63, SP,38,16,15,7,46,34,12,98,6,55,2018,A,A,1.0
6,Atlético Mineiro,59, MG,38,17,8,13,56,43,13,90,3,51,2018,A,A,1.0
7,Athletico Paranaense,57, PR,38,16,9,13,54,37,17,88,5,50,2018,A,B,0.7
8,Cruzeiro,53, MG,38,14,11,13,34,34,0,99,2,46,2018,A,A,1.0
9,Botafogo,51, RJ,38,13,12,13,38,46,-8,90,5,44,2018,A,A,1.0
10,Santos,50, SP,38,13,11,14,46,40,6,88,3,43,2018,A,A,1.0
11,Bahia,48, BA,38,12,12,14,39,41,-2,85,4,42,2018,A,A,1.0
12,Fluminense,45, RJ,38,12,9,17,32,46,-14,87,5,39,2018,A,A,1.0
13,Corinthians,44, SP,38,11,11,16,34,35,-1,77,3,38,2018,A,A,1.0
14,Chapecoense,44, SC,38,11,11,16,34,50,-16,74,3,38,2018,A,A,1.0
15,Ceará,44, CE,38,10,14,14,32,38,-6,91,3,38,2018,A,B,0.7
16,Vasco da Gama,43, RJ,38,10,13,15,41,48,-7,101,9,37,2018,A,A,1.0
17,America Fc,40, MG,38,10,10,18,30,47,-17,84,8,35,2018,A,B,0.7
18,Sport,39, PE,38,11,9,18,35,57,-22,78,4,34,2018,A,A,1.0
19,Vitória,37, BA,38,9,10,19,36,63,-27,108,7,32,2018,A,A,1.0
20,Paraná,23, PR,38,4,11,23,18,57,-39,98,9,20,2018,A,B,0.7
1,Fortaleza,71, CE,38,21,8,9,54,33,21,95,2,62,2018,B,C,0.5
2,Csa,62, AL,38,17,11,10,51,37,14,96,2,54,2018,B,C,0.5
3,Avaí,61, SC,38,16,13,9,50,32,18,100,6,53,2018,B,A,1.0
4,Goiás,60, GO,38,18,6,14,54,50,4,93,3,52,2018,B,B,0.7
5,Ponte Preta,60, SP,38,16,12,10,42,30,12,85,9,52,2018,B,A,1.0
6,Atlético,59, GO,38,16,11,11,57,51,6,97,6,51,2018,B,A,1.0
7,Vila Nova,57, GO,38,14,15,9,41,36,5,88,6,50,2018,B,B,0.7
8,Londrina,55, PR,38,15,10,13,45,42,3,114,6,48,2018,B,B,0.7
9,Guarani,54, SP,38,14,12,12,44,39,5,86,3,47,2018,B,B,0.7
10,Coritiba,52, PR,38,13,13,12,40,44,-4,102,6,45,2018,B,A,1.0
11,Brasil,50, RS,38,13,11,14,36,35,1,108,5,43,2018,B,B,0.7
12,Crb,48, AL,38,12,12,14,35,39,-4,85,7,42,2018,B,B,0.7
13,São Bento,47, SP,38,11,14,13,41,41,0,98,4,41,2018,B,C,0.5
14,Criciúma,47, SC,38,11,14,13,45,49,-4,113,13,41,2018,B,B,0.7
15,Figueirense,46, SC,38,11,13,14,48,51,-3,99,6,40,2018,B,B,0.7
16,Oeste,46, SP,38,9,19,10,36,40,-4,90,4,40,2018,B,B,0.7
17,Paysandu,43, PA,38,10,13,15,42,53,-11,89,6,37,2018,B,B,0.7
18,Sampaio Correa,38, MA,38,10,8,20,32,47,-15,107,9,33,2018,B,C,0.5
19,Juventude,35, RS,38,7,14,17,27,48,-21,112,7,30,2018,B,B,0.7
20,Boa,30, MG,38,7,9,22,26,49,-23,95,9,26,2018,B,B,0.7
1,Flamengo,90, RJ,38,28,6,4,86,37,49,90,3,78,2019,A,A,1.0
2,Santos,74, SP,38,22,8,8,60,33,27,110,12,64,2019,A,A,1.0
3,Palmeiras,74, SP,38,21,11,6,61,32,29,78,5,64,2019,A,A,1.0
4,Grêmio,65, RS,38,19,8,11,64,39,25,80,2,57,2019,A,A,1.0
5,Athletico Paranaense,64, PR,38,18,10,10,51,32,19,83,2,56,2019,A,A,1.0
6,São Paulo,63, SP,38,17,12,9,39,30,9,87,7,55,2019,A,A,1.0
7,Internacional,57, RS,38,16,9,13,44,38,6,98,3,50,2019,A,A,1.0
8,Corinthians,56, SP,38,14,14,10,42,34,8,72,2,49,2019,A,A,1.0
9,Fortaleza,53, CE,38,15,8,15,50,49,1,85,13,46,2019,A,B,0.7
10,Goiás,52, GO,38,15,7,16,46,64,-18,86,7,45,2019,A,B,0.7
11,Bahia,49, BA,38,12,13,13,44,43,1,65,6,42,2019,A,A,1.0
12,Vasco da Gama,49, RJ,38,12,13,13,39,45,-6,105,5,42,2019,A,A,1.0
13,Atlético Mineiro,48, MG,38,13,9,16,44,49,-5,69,5,42,2019,A,A,1.0
14,Fluminense,46, RJ,38,12,10,16,38,46,-8,87,12,40,2019,A,A,1.0
15,Botafogo,43, RJ,38,13,4,21,31,45,-14,94,3,37,2019,A,A,1.0
16,Ceará,39, CE,38,10,9,19,36,41,-5,85,3,34,2019,A,A,1.0
17,Cruzeiro,36, MG,38,7,15,16,27,46,-19,81,6,31,2019,A,A,1.0
18,Csa,32, AL,38,8,8,22,24,58,-34,90,4,28,2019,A,B,0.7
19,Chapecoense,32, SC,38,7,11,20,31,52,-21,79,6,28,2019,A,A,1.0
20,Avaí,20, SC,38,3,11,24,18,62,-44,79,10,17,2019,A,B,0.7
1,Red Bull Bragantino,75, SP,38,22,9,7,64,27,37,79,7,65,2019,B,C,0.5
2,Sport,68, PE,38,17,17,4,49,29,20,72,6,59,2019,B,A,1.0
3,Coritiba,66, PR,38,18,12,8,48,34,14,104,5,57,2019,B,B,0.7
4,Atlético,62, GO,38,15,17,6,44,29,15,94,4,54,2019,B,B,0.7
5,America Fc,61, MG,38,17,10,11,42,34,8,77,1,53,2019,B,A,1.0
6,Paraná,56, PR,38,14,14,10,34,33,1,100,5,49,2019,B,A,1.0
7,Crb,55, AL,38,15,10,13,44,43,1,94,7,48,2019,B,B,0.7
8,Cuiabá,52, MT,38,13,13,12,43,40,3,85,6,45,2019,B,C,0.5
9,Botafogo,50, SP,38,13,11,14,38,38,0,87,6,43,2019,B,A,1.0
10,Operario,50, PR,38,13,11,14,32,41,-9,90,6,43,2019,B,C,0.5
11,Ponte Preta,47, SP,38,11,14,13,41,39,2,111,7,41,2019,B,B,0.7
12,Vitória,45, BA,38,11,12,15,42,48,-6,90,4,39,2019,B,A,1.0
13,Guarani,44, SP,38,12,8,18,27,37,-10,98,6,38,2019,B,B,0.7
14,Brasil,44, RS,38,11,11,16,31,47,-16,115,4,38,2019,B,B,0.7
15,Oeste,41, SP,38,8,17,13,41,49,-8,127,3,35,2019,B,B,0.7
16,Figueirense,41, SC,38,7,20,11,31,38,-7,92,5,35,2019,B,B,0.7
17,Londrina,39, PR,38,11,6,21,37,53,-16,97,10,34,2019,B,B,0.7
18,São Bento,39, SP,38,10,9,19,46,54,-8,103,9,34,2019,B,B,0.7
19,Criciúma,39, SC,38,8,15,15,30,38,-8,110,8,34,2019,B,B,0.7
20,Vila Nova,39, GO,38,7,18,13,27,40,-13,107,4,34,2019,B,B,0.7
1,Flamengo,71, RJ,38,21,8,9,68,48,20,90,4,62,2020,A,A,1.0
2,Internacional,70, RS,38,20,10,8,61,35,26,91,9,61,2020,A,A,1.0
3,Atlético Mineiro,68, MG,38,20,8,10,64,45,19,72,6,59,2020,A,A,1.0
4,São Paulo,66, SP,38,18,12,8,59,41,18,95,2,57,2020,A,A,1.0
5,Fluminense,64, RJ,38,18,10,10,55,42,13,85,5,56,2020,A,A,1.0
6,Grêmio,59, RS,38,14,17,7,53,40,13,70,8,51,2020,A,A,1.0
7,Palmeiras,58, SP,38,15,13,10,51,37,14,96,5,50,2020,A,A,1.0
8,Santos,54, SP,38,14,12,12,52,51,1,86,6,47,2020,A,A,1.0
9,Athletico Paranaense,53, PR,38,15,8,15,38,36,2,82,5,46,2020,A,A,1.0
10,Red Bull Bragantino,53, SP,38,13,14,11,50,40,10,81,4,46,2020,A,B,0.7
11,Ceará,52, CE,38,14,10,14,54,51,3,91,10,45,2020,A,A,1.0
12,Corinthians,51, SP,38,13,12,13,45,45,0,83,10,44,2020,A,A,1.0
13,Atlético,50, GO,38,12,14,12,40,45,-5,82,6,43,2020,A,B,0.7
14,Bahia,44, BA,38,12,8,18,48,59,-11,88,8,38,2020,A,A,1.0
15,Sport,42, PE,38,12,6,20,31,50,-19,98,7,36,2020,A,B,0.7
16,Fortaleza,41, CE,38,10,11,17,34,44,-10,82,11,35,2020,A,A,1.0
17,Vasco da Gama,41, RJ,38,10,11,17,37,56,-19,87,7,35,2020,A,A,1.0
18,Goiás,37, GO,38,9,10,19,41,63,-22,117,6,32,2020,A,A,1.0
19,Coritiba,31, PR,38,7,10,21,31,54,-23,82,8,27,2020,A,B,0.7
20,Botafogo,27, RJ,38,5,12,21,32,62,-30,72,6,23,2020,A,A,1.0
1,Chapecoense,73, SC,38,20,13,5,42,21,21,97,6,64,2020,B,A,1.0
2,America,73, MG,38,20,13,5,43,23,20,64,3,64,2020,B,C,0.5
3,Juventude,61, RS,38,17,10,11,52,42,10,107,3,53,2020,B,C,0.5
4,Cuiabá,61, MT,38,17,10,11,48,40,8,89,5,53,2020,B,B,0.7
5,Csa,58, AL,38,16,10,12,50,37,13,104,7,50,2020,B,A,1.0
6,Sampaio Correa,57, MA,38,17,6,15,50,38,12,73,4,50,2020,B,C,0.5
7,Ponte Preta,57, SP,38,16,9,13,54,49,5,86,3,50,2020,B,B,0.7
8,Operário,57, PR,38,15,12,11,40,34,6,105,7,50,2020,B,C,0.5
9,Avaí,55, SC,38,16,7,15,45,49,-4,103,2,48,2020,B,A,1.0
10,Crb,52, AL,38,15,7,16,48,47,1,91,5,45,2020,B,B,0.7
11,Cruzeiro,49, MG,38,14,13,11,39,32,7,93,5,42,2020,B,A,1.0
